;Decay Energy:     20.0000 MeV
;Masses of products (Mev):    2808.3910    938.2720    938.2720    938.2720    938.2720
                    p01x                 p01y                 p01z                    p02x                 p02y                 p02z                    p03x                 p03y                 p03z                    p04x                 p04y                 p04z                    p05x                 p05y                 p05z
    -97.07323188121      -32.92545752994      -3.394225846209          44.00355379661       43.46702722228      -24.62956163408         -43.55795639647      -18.74143800216      -61.37156489211          68.10911964581      -77.61661004266       25.55948927183          28.51851483526       85.81647835248       63.83586310057     
     40.87848442814       83.76821964214       109.2655141525         -.2261749542334      -89.62401615122       66.99293547709          11.48830342406      -23.63685396583      -102.2631156463         -7.561147287538      -.4816842113921      -11.60474344899         -44.57946561043       29.97433468630      -62.39059053430     
     90.49464108097       48.33511758771       72.28640468029         -99.69800920207      -91.21152050854      -32.84423016468          78.81179678871       9.746894779401       1.946376647908         -43.96778688245      -15.06700245578      -38.35031931268         -25.64064178517       48.19651059721      -3.038231850839     
     28.74258907301       59.63436915336      -76.86555480464          50.14038341807      -87.57736843410       31.98538893688         -21.09285605521       44.22002053950       120.2361485052         -20.25653993267      -28.75670008872      -23.75357857941         -37.53357650320       12.47967882996      -51.60240405801     
     60.05200860677       42.71055950164       48.35281607221         -68.79453887890       33.04544932676       2.838750396812          89.89846405085      -76.11890558601       66.57460644148         -24.86650341192      -1.469158006078      -53.05484470435         -56.28943036681       1.832054763694      -64.71132820615     
    -27.91576874270      -133.3290810128       68.37974542930         -64.08381719426      -7.846783994745      -59.34844998218          119.9019308713       52.64132109281      -16.63306206668         -15.41243580119       54.62248498815      -3.213069289187         -12.48990913317       33.91205892656       10.81483590874     
    -8.170761651863      -68.40026383874      -.5812834170529         -101.0851111308      -48.30319486658      -13.82093349708         -2.435344410785       19.04182273463       12.85933570442          33.09010355321       75.46839155432       68.61966486084          78.60111364022       22.19324441637      -67.07678365113     
    -73.38666273517      -19.38188356847       51.52895586133         -24.00283225188      -20.37811277950      -57.30200454728          51.78360085370      -30.80830223121      -18.92753822636         -80.21499941582       61.26194056123       17.09685807021          125.8208935492       9.306358017950       7.603728842102     
     2.176877012039       147.4508304507      -139.1168419288          27.38677492070      -28.53239471255       58.19470430653          23.65628655008      -4.052913775605       85.70583606180         -22.03238371668      -38.17317694841       30.15666701453         -31.18755476614      -76.69234501413      -34.94036545401     
    -74.33731034937      -36.58757785099       99.77800389767          6.907705812265       17.02859711582       101.0113270278          9.936827904871       34.25462579175      -21.28099429598          13.38188248973      -5.149895460355      -115.1626872434          44.11089414251      -9.545749596226      -64.34564938609     
     1.263517320394       203.7720647677      -5.497200896803          36.27728727126      -83.48949787006       6.331679692821          35.23485605444      -44.53635144964      -17.03958990541         -43.93391873347       16.87365948369       3.147252387211         -28.84174191262      -92.61987493171       13.05785872219     
    -61.35536185736       48.59880421976      -72.98863893770          6.165519719646       30.72089487076       87.10598513875         -38.41569616196      -97.87899404738      -21.69122642746          5.019564658359       36.81040135196       48.61429601832          88.58597364131      -18.25110639510      -41.04041579191     
    -34.91076467613       22.58817434070       178.4732843333         -13.63797500240      -53.45161915551      -26.19660854118         -65.89541801893      -21.99666836216      -32.21055250056          82.00363841930       39.38236043692      -60.71056981035          32.44051927816       13.47775274006      -59.35555348116     
     126.3833052567       32.04620556425       7.233538280299          50.84369329470      -22.24005498963      -43.07013069627         -69.44434703067       17.49219878881       14.34146009525         -107.5586248176      -58.00028484133       62.98925966206         -.2240267031567       30.70193547789      -41.49412734134     
     100.3857088721       77.76820127903      -91.46266049408         -32.17538943337       32.31301020186       77.14461579842         -16.46388261658      -49.62861908388       71.62970635502          19.18305415413      -70.31698993573      -2.482977640758         -70.92949097632       9.864397538714      -54.82868401859     
     81.86299309626      -6.599250117259      -96.51047775659         -8.796750433304      -46.87585901669      -13.75536100249         -71.74596478196       39.21219492231      -24.92695310996         -65.13122012217       16.68660654842       115.8579891683          63.81094224117      -2.423692336782       19.33480270075     
    -6.384293269975       31.55296361803       18.02799110537         -73.41228812122      -51.32445052740       102.7215069729          38.27387389625       21.93046718768      -72.46215871308         -21.40580530053       1.337604356259      -77.55776193240          62.92851279548      -3.496584634577       29.27042256717     
     15.68657631783      -145.4666690586      -7.365323785041          91.12616979737       28.06504182478       9.655702634609         -28.97384122875       42.34487856931       19.71600823224          16.98593092350       87.26732411020      -31.83158933395         -94.82483580995      -12.21057544571       9.825202252139     
     100.9341980537      -78.19766886470       84.32780058923         -97.32974057674      -23.24808857367      -40.62049037702         -7.383977133389       115.5083541852      -28.06584381636          41.25786228881       8.865467753535      -4.145982986095         -37.47834263243      -22.92806450036      -11.49548340976     
    -114.1587196114      -1.156070915519      -93.21770175874          24.85866363811      -15.64660664795       19.07060348419         -47.25293757610      -78.17332052575       18.31056601286          31.15399006557       22.17626615268       49.57090878446          105.3990034839       72.79973193654       6.265623477228     
    -160.6951856820      -43.83300861331      -9.246103572588          48.43004141965      -11.05634890088      -46.87499767330          70.58134717733       71.45242327416       55.27823402058         -19.80774761131      0.5537130456932      -54.15892000036          61.49154469628      -17.11677880567       55.00178722566     
    -97.46638263457       46.98428306017      -45.60685525772         -1.686712728091       4.106047845631       56.60861979887          65.92472821625      -15.61041838089      -6.478717174634         -67.15527093856      -66.76293374390       47.91721286633          100.3836380850       31.28302121900      -52.44026023285     
    -129.5269195762       105.6045326392       14.65287712181         -.9845295859813      -53.16141864288       15.23653113658          31.25601655839       38.30211775581       12.18875514828          17.59845336312      -88.61491529936      -79.16047316053          81.65697924071      -2.130316452778       37.08230975386     
    -18.62362936309      -61.25252297161       54.07309232635          25.46943271492      -26.81574132969       58.48577895058          29.44186130454      -25.95459420671       13.68185340521          24.00734228224      -13.33581169499      -56.39877539126         -60.29500693861       127.3586702030      -69.84194929088     
    -42.04257906610       39.89937640996      -119.0565809019         -33.25184882623      -3.786885664771       35.76782981877         -39.25017007150       46.17439025981       78.27732743522          108.7109819153      -79.32757044592       28.07130098840          5.833616048538      -2.959310559087      -23.05987734053     
     121.6686454567       52.35106408211      -120.9733769754         -44.51102187368      -46.12680254609       39.84480149318         -88.53559033226       16.20092496854       31.51800760668          38.41799876589      -75.63200171100       24.36442711881         -27.04003201661       53.20681520644       25.24614075673     
